location_id,category,true_demand,believed_demand,belief_delta
0,Alcoholic Beverages,655.0872968091511,784.1236665615911,0.17979824154648844
0,Bakery and Bread,1414.9630048825125,1564.2601657294551,0.10030958886936701
0,Beverages (Non-Alcoholic),1827.843494085532,2856.6094733233804,0.44649856929441734
0,Dairy and Eggs,2678.4457853980407,2868.8244796052936,0.06866566140312871
0,Fresh Produce,2451.4285714285716,3607.4944563205513,0.3863425299507254
0,Frozen Foods,1048.9395886889458,638.4799519677426,-0.49644474097025115
0,Household and Cleaning Supplies,257.7142528187373,457.15576700775495,0.573172755739451
0,Meat and Poultry,883.6925424375357,833.7562952200362,-0.05816805177766754
0,Pantry Staples and Packaged Goods,2200.960809102402,3061.600110204677,0.3300436946900859
0,Personal Care and Health,411.1429138209538,358.5421645152487,-0.1368946094126648
0,Seafood,283.4931852599697,302.70955415338767,0.06558569364435027
0,Snacks and Confectionery,1136.6287183253762,1290.8263209672677,0.12721595576015465
1,Alcoholic Beverages,680.1813666465985,814.1606618532651,0.17979824154648844
1,Bakery and Bread,1469.1652167630925,1624.1814220779625,0.10030958886936701
1,Beverages (Non-Alcoholic),1897.8616924476794,2966.0360458902032,0.44649856929441734
1,Dairy and Eggs,2781.047539274175,2978.7189657192057,0.06866566140312871
1,Fresh Produce,2545.3341013824884,3745.684768155411,0.3863425299507254
1,Frozen Foods,1089.1207422879177,662.9378533536038,-0.49644474097025115
1,Household and Cleaning Supplies,267.5863713742938,474.6677822761972,0.573172755739451
1,Meat and Poultry,917.5436680551026,865.6945403998359,-0.05816805177766754
1,Pantry Staples and Packaged Goods,2285.2718078381795,3178.8791466842918,0.3300436946900859
1,Personal Care and Health,426.89233995522426,372.2766425914377,-0.1368946094126648
1,Seafood,294.35280324371854,314.3052830423279,0.06558569364435027
1,Snacks and Confectionery,1180.1689313257434,1340.2732969720623,0.12721595576015465
2,Alcoholic Beverages,451.69325707405176,540.6659152501294,0.17979824154648844
2,Bakery and Bread,975.639813850442,1078.5826142731323,0.10030958886936701
2,Beverages (Non-Alcoholic),1260.3275705186531,1969.6783062028148,0.44649856929441734
2,Dairy and Eggs,1846.8315697704231,1978.1007500504243,0.06866566140312871
2,Fresh Produce,1690.299539170507,2487.4256130274766,0.3863425299507254
2,Frozen Foods,723.2607647814909,440.2422249455,-0.49644474097025115
2,Household and Cleaning Supplies,177.69813400001647,315.2162748319601,0.573172755739451
2,Meat and Poultry,609.320261116204,574.8884132363959,-0.05816805177766754
2,Pantry Staples and Packaged Goods,1517.5979772439948,2111.0226566330634,0.3300436946900859
2,Personal Care and Health,283.4896704168674,247.22060537140135,-0.1368946094126648
2,Seafood,195.47312370747912,208.72312000092458,0.06558569364435027
2,Snacks and Confectionery,783.7238340066101,890.0455680863015,0.12721595576015465
3,Alcoholic Beverages,631.3139674894642,755.6675657589528,0.17979824154648844
3,Bakery and Bread,1363.613540995647,1507.4926597150798,0.10030958886936701
3,Beverages (Non-Alcoholic),1761.5104640582344,2752.942194049548,0.44649856929441734
3,Dairy and Eggs,2581.2441238311762,2764.713913813166,0.06866566140312871
3,Fresh Produce,2362.4654377880183,3476.577318792789,0.3863425299507254
3,Frozen Foods,1010.8732326478148,615.3093085495585,-0.49644474097025115
3,Household and Cleaning Supplies,248.3617194503154,440.5654367534413,0.573172755739451
3,Meat and Poultry,851.623055010367,803.4990103128574,-0.05816805177766754
3,Pantry Staples and Packaged Goods,2121.087231352718,2950.4936545924106,0.3300436946900859
3,Personal Care and Health,396.222404851645,345.5305537062276,-0.1368946094126648
3,Seafood,273.2051261174708,291.7241267849179,0.06558569364435027
3,Snacks and Confectionery,1095.380095482923,1243.9818173837782,0.12721595576015465
4,Alcoholic Beverages,797.7272727272727,954.8602713774216,0.17979824154648844
4,Bakery and Bread,1723.0597882037048,1904.8652018157077,0.10030958886936701
4,Beverages (Non-Alcoholic),2225.8416742493173,3478.613148966375,0.44649856929441734
4,Dairy and Eggs,3261.655754799227,3493.4878743580593,0.06866566140312871
4,Fresh Produce,2985.2073732718895,4392.997281487123,0.3863425299507254
4,Frozen Foods,1277.3377249357325,777.503812476848,-0.49644474097025115
4,Household and Cleaning Supplies,313.82945302926885,556.6977485336372,0.573172755739451
4,Meat and Poultry,1076.1094670005475,1015.3000046631086,-0.05816805177766754
4,Pantry Staples and Packaged Goods,2680.2022756005053,3728.238843878276,0.3300436946900859
4,Personal Care and Health,500.6659676368067,436.61182936937547,-0.1368946094126648
4,Seafood,345.22154011496315,368.622118364206,0.06558569364435027
4,Snacks and Confectionery,1384.120455380095,1571.893342468205,0.12721595576015465
5,Alcoholic Beverages,542.8243527995184,649.7476349935765,0.17979824154648844
5,Bakery and Bread,1172.4794254167593,1296.191387328238,0.10030958886936701
5,Beverages (Non-Alcoholic),1514.6041856232937,2367.069543419172,0.44649856929441734
5,Dairy and Eggs,2219.4379391100697,2377.1912522535795,0.06866566140312871
5,Fresh Produce,2031.3248847926266,2989.2746402172306,0.3863425299507254
5,Frozen Foods,869.1817962724934,529.0630247152061,-0.49644474097025115
5,Household and Cleaning Supplies,213.5495119123005,378.81254080682925,0.573172755739451
5,Meat and Poultry,732.2532962536839,690.8746720472477,-0.05816805177766754
5,Pantry Staples and Packaged Goods,1823.78002528445,2536.930736480085,0.3300436946900859
5,Personal Care and Health,340.6849547992178,297.0984468059823,-0.1368946094126648
5,Seafood,234.9106837537249,250.8339249133918,0.06558569364435027
5,Snacks and Confectionery,941.8435549026806,1069.6161651563448,0.12721595576015465
6,Alcoholic Beverages,674.8984045755568,807.8370838971231,0.17979824154648844
6,Bakery and Bread,1457.7542247882336,1611.5664207414347,0.10030958886936701
6,Beverages (Non-Alcoholic),1883.12101910828,2942.998872718241,0.44649856929441734
6,Dairy and Eggs,2759.447170037094,2955.583284432066,0.06866566140312871
6,Fresh Produce,2525.564516129032,3716.5920709270194,0.3863425299507254
6,Frozen Foods,1080.6615520565551,657.7888214828962,-0.49644474097025115
6,Household and Cleaning Supplies,265.50803062575557,470.98104221968305,0.573172755739451
6,Meat and Poultry,910.4171152935096,858.9706993093517,-0.05816805177766754
6,Pantry Staples and Packaged Goods,2267.522123893805,3154.188823214899,0.3300436946900859
6,Personal Care and Health,423.5766712953779,369.38517352276637,-0.1368946094126648
6,Seafood,292.0665678787188,311.86407696044574,0.06558569364435027
6,Snacks and Confectionery,1171.0025706940871,1329.8634072868424,0.12721595576015465
7,Alcoholic Beverages,645.8421131848283,773.0574051383428,0.17979824154648844
7,Bakery and Bread,1394.9937689265093,1542.1839133905314,0.10030958886936701
7,Beverages (Non-Alcoholic),1802.047315741583,2816.2944202724457,0.44649856929441734
7,Dairy and Eggs,2640.6451392331487,2828.337037352799,0.06866566140312871
7,Fresh Produce,2416.831797235023,3556.5822361708656,0.3863425299507254
7,Frozen Foods,1034.1360057840616,629.4691461940045,-0.49644474097025115
7,Household and Cleaning Supplies,254.07715650879547,450.70397190885524,0.573172755739451
7,Meat and Poultry,871.2210751047479,821.9895733116889,-0.05816805177766754
7,Pantry Staples and Packaged Goods,2169.898862199747,3018.39204413324,0.3300436946900859
7,Personal Care and Health,405.34049366622264,353.48209364507386,-0.1368946094126648
7,Seafood,279.49227337122016,298.43744351009394,0.06558569364435027
7,Snacks and Confectionery,1120.5875872199776,1272.609014018133,0.12721595576015465
